AwardID,teams,hub,site,node,AwardTitle,Agency,AwardEffectiveDate,AwardExpirationDate,AwardTotalIntnAmount,AwardAmount,AwardInstrument,Organization_Code,Directorate_Abbreviation,Directorate_LongName,Division_Abbreviation,Division_LongName,Year,sbir,sbir_1,sbir_2,sttr,sttr_1,sttr_2
1546724,1,,,,I-Corps L:  Interactive Educational Tools for STEM Students to Increase the Understanding of Energy Conversion Devices,NSF,8/1/15,7/31/16,50000,50000,Standard Grant,15030000,TIP,"Dir for Tech, Innovation, & Partnerships",TI,Translational Impacts,2015,0,0,0,0,0,0
1547768,1,,,,I-Corps L:  Interactive Stem Cell Demonstration Activity,NSF,8/15/15,12/31/16,50000,50000,Standard Grant,15030000,TIP,"Dir for Tech, Innovation, & Partnerships",TI,Translational Impacts,2015,0,0,0,0,0,0
1518982,1,,,,I-Corps L:  Investigating Commercialization Strategies for the CryptoClub,NSF,2/1/15,7/31/16,50000,50000,Standard Grant,15030000,TIP,"Dir for Tech, Innovation, & Partnerships",TI,Translational Impacts,2015,0,0,0,0,0,0
1514515,1,,,,I-Corps l:  Leveraging Maker Pathways Research Projects to Scale Steam + Making Outreach Programs,NSF,2/1/15,7/31/16,50000,50000,Standard Grant,15030000,TIP,"Dir for Tech, Innovation, & Partnerships",TI,Translational Impacts,2015,0,0,0,0,0,0
1644575,1,,,,I-Corps L:  National Center for Inclusion in Engineering Education,NSF,9/15/16,2/28/17,50000,50000,Standard Grant,15030000,TIP,"Dir for Tech, Innovation, & Partnerships",TI,Translational Impacts,2016,0,0,0,0,0,0
1505361,1,,,,I-Corps L:  Real-Time Graphical Presentation for Visually Impaired STEM Students,NSF,1/1/15,8/31/16,50000,50000,Standard Grant,15030000,TIP,"Dir for Tech, Innovation, & Partnerships",TI,Translational Impacts,2015,0,0,0,0,0,0
1547025,1,,,,I-Corps L:  Recognize- an application to support visual learning,NSF,8/15/15,7/31/16,50000,50000,Standard Grant,15030000,TIP,"Dir for Tech, Innovation, & Partnerships",TI,Translational Impacts,2015,0,0,0,0,0,0
1547202,1,,,,I-Corps L:  Scaling the University Innovation Fellows Program to Catalyze Student Engagement and Change in Higher Education,NSF,7/1/15,12/31/16,50000,50000,Standard Grant,15030000,TIP,"Dir for Tech, Innovation, & Partnerships",TI,Translational Impacts,2015,0,0,0,0,0,0
1644488,1,,,,I-Corps L:  Scaling Up STEM Equity Audits,NSF,8/1/16,9/30/17,50000,50000,Standard Grant,15030000,TIP,"Dir for Tech, Innovation, & Partnerships",TI,Translational Impacts,2016,0,0,0,0,0,0
1519089,1,,,,I-Corps L:  Science Education for New Civic Engagements and Responsibilities (SENCER),NSF,12/15/14,5/31/16,50000,50000,Standard Grant,15030000,TIP,"Dir for Tech, Innovation, & Partnerships",TI,Translational Impacts,2015,0,0,0,0,0,0
1546734,1,,,,I-Corps L:  SENSE IT - The Student Enabled Network of Sensors for the Environment using Innovative Technology,NSF,8/1/15,7/31/16,50000,50000,Standard Grant,15030000,TIP,"Dir for Tech, Innovation, & Partnerships",TI,Translational Impacts,2015,0,0,0,0,0,0
1505403,1,,,,"I-Corps L:  Social Entrepreneurship to Integrate Education, Research and Training - A University of Houston Model",NSF,1/1/15,6/30/16,50000,50000,Standard Grant,15030000,TIP,"Dir for Tech, Innovation, & Partnerships",TI,Translational Impacts,2015,0,0,0,0,0,0
1546720,1,,,,I-Corps L:  STEM-Packs - Supporting STEM Learning Through Literature,NSF,8/1/15,7/31/16,50000,50000,Standard Grant,15030000,TIP,"Dir for Tech, Innovation, & Partnerships",TI,Translational Impacts,2015,0,0,0,0,0,0
1547092,1,,,,I-Corps L:  TheDesignExchange- Nuturing a National Design Innovation Ecosystem,NSF,8/1/15,7/31/16,50000,50000,Standard Grant,15030000,TIP,"Dir for Tech, Innovation, & Partnerships",TI,Translational Impacts,2015,0,0,0,0,0,0
1505499,1,,,,I-Corps L:  Tinkering Labs - Invent it Here,NSF,1/15/15,6/30/17,50000,50000,Standard Grant,15030000,TIP,"Dir for Tech, Innovation, & Partnerships",TI,Translational Impacts,2015,0,0,0,0,0,0
1547162,1,,,,I-Corps L:  Transforming an Innovative Embedded Design Educational Training System into a Commercially Available Product.,NSF,8/15/15,5/31/17,50000,50000,Standard Grant,15030000,TIP,"Dir for Tech, Innovation, & Partnerships",TI,Translational Impacts,2015,0,0,0,0,0,0
1546959,1,,,,I-Corps L:  University of Florida Unites Teachers to Reform Education in Science: Preparing a New Generation of Middle Grades Science Teacher Leaders (U-FUTuRES 2.0),NSF,8/15/15,7/31/16,50000,50000,Standard Grant,15030000,TIP,"Dir for Tech, Innovation, & Partnerships",TI,Translational Impacts,2015,0,0,0,0,0,0
1644465,1,,,,I-Corps L: A Cyberlearning System for Environmental Monitoring Education,NSF,8/1/16,12/31/17,50000,50000,Standard Grant,15030000,TIP,"Dir for Tech, Innovation, & Partnerships",TI,Translational Impacts,2016,0,0,0,0,0,0
1644493,1,,,,"I-Corps L: A User-Discovery, Hypothesis-Driven Exploration of Potential Scaling and Sustainability of Innovations in Water Education",NSF,7/15/16,12/31/16,50000,50000,Standard Grant,15030000,TIP,"Dir for Tech, Innovation, & Partnerships",TI,Translational Impacts,2016,0,0,0,0,0,0
1644442,1,,,,I-Corps L: Dibble,NSF,8/1/16,6/30/17,50000,50000,Standard Grant,15030000,TIP,"Dir for Tech, Innovation, & Partnerships",TI,Translational Impacts,2016,0,0,0,0,0,0
1644409,1,,,,I-Corps L: GeoTech Center,NSF,8/1/16,6/30/17,50000,50000,Standard Grant,15030000,TIP,"Dir for Tech, Innovation, & Partnerships",TI,Translational Impacts,2016,0,0,0,0,0,0
1644728,1,,,,I-Corps L: Loko I'a App - Place-based cultural and scientific exploration in a mobile platform,NSF,8/1/16,7/31/17,50000,50000,Standard Grant,15030000,TIP,"Dir for Tech, Innovation, & Partnerships",TI,Translational Impacts,2016,0,0,0,0,0,0
1548556,1,,,,I-Corps L: Novel Instructional Wireless Sensor Network Kit for STEM+C Training,NSF,8/15/15,7/31/16,50000,50000,Standard Grant,15030000,TIP,"Dir for Tech, Innovation, & Partnerships",TI,Translational Impacts,2015,0,0,0,0,0,0
1644555,1,,,,I-Corps L: nScope- a Lab for Every Laptop,NSF,8/1/16,1/31/19,50000,50000,Standard Grant,15030000,TIP,"Dir for Tech, Innovation, & Partnerships",TI,Translational Impacts,2016,0,0,0,0,0,0
1644458,1,,,,I-Corps L: Pivot Interactives,NSF,7/15/16,12/31/16,50000,50000,Standard Grant,15030000,TIP,"Dir for Tech, Innovation, & Partnerships",TI,Translational Impacts,2016,0,0,0,0,0,0
1644477,1,,,,I-Corps L: Product Realization 2.0 - Multidisciplinary  Technology Entrepreneurship Capstone Course,NSF,8/1/16,1/31/17,50000,50000,Standard Grant,15030000,TIP,"Dir for Tech, Innovation, & Partnerships",TI,Translational Impacts,2016,0,0,0,0,0,0
1546997,1,,,,I-Corps L: SUNY Replication Project,NSF,8/15/15,7/31/19,50000,50000,Standard Grant,15030000,TIP,"Dir for Tech, Innovation, & Partnerships",TI,Translational Impacts,2015,0,0,0,0,0,0
1548096,1,,,,I-Corps L: The E-Prime Curricula for Discovering Research Methods,NSF,8/1/15,7/31/17,50000,50000,Standard Grant,11040200,EDU,Directorate for STEM Education,DUE,Division Of Undergraduate Education,2015,0,0,0,0,0,0
1644507,1,,,,I-Corps L: Working for Kids: Building Skills,NSF,8/1/16,1/31/18,50000,50000,Standard Grant,15030000,TIP,"Dir for Tech, Innovation, & Partnerships",TI,Translational Impacts,2016,0,0,0,0,0,0
1740622,,,,1,I-Corps Node (Track 2):  New York City Regional Innovation Node (NYCRIN),NSF,8/1/17,7/31/22,3450000,3999865,Cooperative Agreement,15030000,TIP,"Dir for Tech, Innovation, & Partnerships",TI,Translational Impacts,2017,0,0,0,0,0,0
1740721,,,,1,I-Corps Node (Track 2):  Promoting Innovation and Entrepreneurship in the Southern California Region,NSF,8/1/17,4/30/23,3450000,4985869,Cooperative Agreement,15030000,TIP,"Dir for Tech, Innovation, & Partnerships",TI,Translational Impacts,2017,0,0,0,0,0,0
1740705,,,,1,I-Corps Node (Track 2):  Southwest Innovation Corps NODE (SWICORPS),NSF,8/1/17,7/31/23,3450000,4253049,Cooperative Agreement,15030000,TIP,"Dir for Tech, Innovation, & Partnerships",TI,Translational Impacts,2017,0,0,0,0,0,0
1643280,,,,1,I-Corps Node:  Activating the Midwest I-Corps Network,NSF,1/1/17,12/31/21,3449985,5084568,Cooperative Agreement,15030000,TIP,"Dir for Tech, Innovation, & Partnerships",TI,Translational Impacts,2016,0,0,0,0,0,0
1444045,,,,1,I-Corps Node:  Southwest Alliance for Entrepreneurial Innovation Node (SAEIN),NSF,9/1/14,8/31/19,3750000,4405499,Continuing Grant,15030000,TIP,"Dir for Tech, Innovation, & Partnerships",TI,Translational Impacts,2014,0,0,0,0,0,0
